CUST_ID,CUSTNAME,ADDRESS1,ADDRESS2,LOCALITY,CITY,STATE,COUNTRY_CODE,POSTAL_CODE,POSTAL_CODE_PLUS4,EMAIL_ADDRESS,PHONE_NUMBER,YTD_SALES,SALESREP_ID,NATIONALITY,NATIONAL_ID,CREDITCARD_NUMBER,CREDITCARD_TYPE,CREDITCARD_EXP,CREDITCARD_CVV,DRIVER_LICENSE
10013,Norbert Cantu       ,2124 Henry Ford Avenue,,,Ada,MI,US,49301,0,Norbert.T.Cantu@spambob.com,614-355-2446,6101,SW280 ,CA,272701863,6.011E+15,Discover,1213,1802,
10014,Mike Smith          ,4061 Jacobs Street,,,Adairville,KY,US,42202,0,Mike.L.Smith@spambob.com,505-726-2764,290.48,SW214 ,CA,333823805,4.11111E+15,VISA,717,3958,
10015,Thomas Owens        ,4030 Jessie Street,,,Adami,CZ,IT,88041,0,Thomas.N.Owens@mailinator.com,0341 5536286,304,WE352 ,FR,1.48034E+14,4.11162E+15,VISA,610,7655,
10016,Margaret Gentry     ,187 Davisson Street,,,Addison,IL,US,60101,0,Margaret.R.Gentry@dodgeit.com,330-893-3201,0,SW148 ,IT,PEEAAE62L12Z511J,3E+13,Diners Club,909,5965,
10018,Curtis Lau          ,539 Boggess Street,,,Afragola,NA,IT,80021,0,Curtis.N.Lau@dodgeit.com,0346 1983300,5000.9,NW118 ,UK,RS262755D,3E+13,Diners Club,314,287,
10019,Anthony Carr        ,2866 Quilly Lane,,,Agallas,,ES,37511,0,Anthony.T.Carr@trashymail.com,91-635-1987,3780.51,SE208 ,IT,EOOIAI58A45B091X,6.01129E+15,Discover,910,2816,
10020,Jasmine Love        ,4554 Davis Street,,,Agliano Terme,AT,IT,14041,0,Jasmine.M.Love@trashymail.com,0321 0654174,152,RP319 ,U.S.,246990001,3.7E+14,American Express,914,9458,
10021,Earl Gay            ,1015 Eagle Street,,,Agnadello,CR,IT,26020,0,Earl.R.Gay@mailinator.com,0383 3662357,0,WE220 ,ES,X4243962W,4.11116E+15,VISA,913,2675,
10022,Jonathan Quijano    ,4207 Geraldine Lane,,,Agnano,NA,IT,80125,0,Jonathan.T.Quijano@spambob.com,0387 2982148,5320.86,WE355 ,ES,7122720B,6.01196E+15,Discover,1215,834,
10024,Earl Johnson        ,816 Mesa Drive,,,Agua Dulce,TX,US,78380,0,Earl.J.Johnson@mailinator.com,541-643-5617,2550,SC388 ,UK,AX089853D,3.08895E+15,JCB,708,7163,
10025,Manuel Cook         ,4881 Hall Place,,,Aielli,AQ,IT,67041,0,Manuel.E.Cook@trashymail.com,0386 9541982,298.83,NE175 ,ES,X0449474P,5.50025E+15,Master Card,1017,3598,
10026,Kelly Tracy         ,2381 Liberty Avenue,,,Aiello Calabro,CS,IT,87031,0,Kelly.N.Tracy@pookmail.com,0383 7098564,5869.4,NW184 ,IT,POXLWX22P51E902N,3.7E+14,American Express,614,1760,
10027,Melvin Schmitz      ,20 Rocky Road,,,Aigues,,ES,3569,0,Melvin.B.Schmitz@dodgeit.com,91-102-2813,304,SW409 ,IT,UAENZJ93C71L915W,4.11162E+15,VISA,212,9166,
10028,Michele Griffith    ,4784 Hillcrest Lane,,,Aix-en-provence,,FR,13090,0,Michele.J.Griffith@spambob.com,03.94.74.30.66,904.86,NE235 ,ES,2379456Z,6.01175E+15,Discover,1217,6086,
10031,John Hoffman        ,1660 Lighthouse Drive,,,Akron,OH,US,44311,0,John.D.Hoffman@trashymail.com,608-822-4333,492,SW274 ,IT,RGQKFP86T41C178Z,3.7E+14,American Express,1216,4216,
10032,Kimberly Rutherford ,220 Red Maple Drive,,,Ala Di Stura,TO,IT,10070,0,Kimberly.J.Rutherford@trashymail.com,0311 2766568,568.3,SC325 ,U.S.,23868133,3.7E+14,American Express,1116,9597,
10033,Stanley Scott       ,459 Jody Road,,,Alagna Lomellina,PV,IT,27020,0,Stanley.L.Scott@spambob.com,0384 4420051,6000.28,SW280 ,CA,969716786,3.7E+14,American Express,910,2663,
10034,Stephanie Greenawalt,142 James Avenue,,,Alassio,SV,IT,17021,0,Stephanie.R.Greenawalt@dodgeit.com,0355 3948042,6000.28,SE265 ,IT,KWHDYE40T17F390F,4.11118E+15,VISA,611,9293,
10035,Muriel Exley        ,2645 Kooter Lane,,,Alba Di Canazei,TN,IT,38030,0,Muriel.J.Exley@trashymail.com,0326 8920950,18735.7,SW412 ,FR,2.67075E+14,6.01151E+15,Discover,716,3857,
10036,Jo Lugo             ,4456 Bond Street,,,Albanella,SA,IT,84044,0,Jo.E.Lugo@mailinator.com,0381 6029987,853.3,SE205 ,ES,6167598X,3.7E+14,American Express,112,23,
10037,Dana Brownlee       ,4732 Yorkie Lane,,,Albany,NY,US,12210,0,Dana.M.Brownlee@spambob.com,361-257-4276,492,NE373 ,U.S.,214770003,3.7E+14,American Express,612,2218,
10038,John Dunn           ,152 Hidden Pond Road,,,Albany,GA,US,31707,0,John.N.Dunn@mailinator.com,530-270-6675,486,WE223 ,FR,8.89064E+14,3.7E+14,American Express,414,2187,
10039,James Moyle         ,288 Vineyard Drive,,,Albany,NY,US,12204,0,James.O.Moyle@pookmail.com,614-241-8539,904.86,NW247 ,IT,MQRAXX73T01A895J,5.50041E+15,Master Card,1217,6641,
10040,Stephen Gillespie   ,2914 Hornor Avenue,,,Albany,GA,US,31707,0,Stephen.B.Gillespie@trashymail.com,941-779-5792,853.3,WE286 ,CA,460589757,3E+13,Diners Club,217,9036,
10041,Mary Austin         ,2703 Eden Drive,,,Albany,NY,US,12207,0,Mary.H.Austin@mailinator.com,315-784-4413,18735.7,NE238 ,UK,TE265940B,3E+13,Diners Club,411,2293,
10042,Carrol Brewer       ,4091 Shinn Street,,,Boston,MA,US,2110,0,Carrol.K.Brewer@pookmail.com,951-377-6099,673,NW181 ,ES,4701439D,3.7E+14,American Express,717,5933,
10044,Esperanza Carrillo  ,2824 Better Street,,,Alberton,SA,AU,5014,0,Esperanza.C.Carrillo@trashymail.com,(07) 4534 8023,18735.7,SE403 ,IT,UOUAXX01E26F369F,6.01154E+15,Discover,117,5443,
10046,Sharon Roussel      ,3972 Saint Clair Street,,,Albignasego,PD,IT,35020,0,Sharon.M.Roussel@spambob.com,0364 1853715,90.3,NE370 ,ES,6263155W,3E+13,Diners Club,916,5142,
10047,Calvin Shupe        ,3335 Willow Oaks Lane,,,Albosaggia,SO,IT,23100,0,Calvin.M.Shupe@spambob.com,0331 4473271,0,NE373 ,IT,RHFGBS20R46E848A,4.11194E+15,VISA,1011,4199,
10048,Amy Langan          ,2033 Eastland Avenue,,,Albuquerque,NM,US,87107,0,Amy.B.Langan@trashymail.com,305-827-8912,298.83,WE352 ,U.S.,22867951,3.7E+14,American Express,213,688,
10049,Zachary Cyr         ,4873 Bloomfield Way,,,Albuquerque,NM,US,87109,0,Zachary.M.Cyr@mailinator.com,701-744-4494,304,SW145 ,IT,OAUOXX06R62E386T,3.7E+14,American Express,512,2707,
10050,Linda Young         ,1907 Chapel Street,,,Albuquerque,NM,US,87114,0,Linda.D.Young@dodgeit.com,870-730-4055,1820.08,SW277 ,IT,IAOOEI09P45H026M,3.08807E+15,JCB,214,2005,
10051,Alfonso Frazier     ,3783 Freed Drive,,,Albuquerque,NM,US,87109,0,Alfonso.K.Frazier@pookmail.com,973-546-4321,52,WE418 ,FR,1.76099E+14,3.7E+14,American Express,116,9492,
10052,James Shamblin      ,1092 East Avenue,,,Albury,NSW,AU,2640,0,James.E.Shamblin@dodgeit.com,(08) 8703 1831,0,NW112 ,IT,CUADHO73A16C057S,3.7E+14,American Express,110,6953,
10053,Vanessa Carter      ,4192 Eagle Street,,,ALBY HILL,,UK,NR11 3FT,0,Vanessa.P.Carter@pookmail.com,079 7295 4355,352,SW340 ,ES,2749520P,3.08896E+15,JCB,708,7766,
10054,Jackie Sears        ,1168 Elliot Avenue,,,Alcala de Xivert,,ES,12570,0,Jackie.D.Sears@dodgeit.com,91-102-2589,6000.28,SW214 ,FR,1.62018E+14,3.7E+14,American Express,1116,4957,
10055,Reda Fullilove      ,518 Crestview Terrace,,,Alcalali,,ES,3728,0,Reda.J.Fullilove@dodgeit.com,91-102-2037,180.3,SE205 ,IT,WHQPWH25A09H876D,3E+13,Diners Club,115,6744,
10056,Violet Smith        ,3113 Harrison Street,,,Alcazar de San Juan,,ES,13600,0,Violet.C.Smith@dodgeit.com,91-271-2795,505,SE208 ,CA,735076275,4.11105E+15,VISA,916,3244,
10057,Marjorie Betts      ,225 John Avenue,,,Aldaia,,ES,46960,0,Marjorie.L.Betts@dodgeit.com,91-451-6668,5869.4,SC322 ,ES,0030765Z,3.088E+15,JCB,1115,7463,
10059,Cecil Games         ,3747 Abner Road,,,Aldearrubia,,ES,37340,0,Cecil.A.Games@trashymail.com,91-103-1865,290.48,WE421 ,FR,2.10113E+14,4.11195E+15,VISA,1209,4531,
10060,Chad Locke          ,1110 Clarence Court,,,Aldersyde,WA,AU,6306,0,Chad.S.Locke@dodgeit.com,(08) 9035 3932,1782.03,RP385 ,FR,1.89075E+14,3.08802E+15,JCB,810,1367,
10061,Terrell Meyers      ,4829 Oakway Lane,,,Alexandra,QLD,AU,4740,0,Terrell.C.Meyers@dodgeit.com,(07) 4034 4446,904.86,SC391 ,CA,565987856,3.08845E+15,JCB,915,8017,
10062,Clifford Pardo      ,4540 Godfrey Street,,,Alexandria,VA,US,22306,0,Clifford.D.Pardo@dodgeit.com,484-483-6787,5869.4,NC232 ,ES,2880854N,3.0882E+15,JCB,114,1135,
10392,Maggie Moore        ,2357 Oak Way,,,Boston,MA,US,2215,0,Maggie.B.Moore@spambob.com,231-709-5716,492,NE172 ,IT,CDYTBZ97R21G330B,4.11111E+15,VISA,1009,2370,
10063,Edward Turner       ,3179 Stratford Drive,,,Alexandria,LA,US,71301,0,Edward.C.Turner@mailinator.com,313-244-7595,5000.9,WE154 ,FR,7.54108E+14,3E+13,Diners Club,913,8236,
10064,Karin Gibson        ,4275 Mount Olive Road,,,Alexandria,LA,US,71301,0,Karin.D.Gibson@dodgeit.com,262-674-0320,90.3,RP319 ,U.S.,22868223,3.088E+15,JCB,1114,9359,
10065,Charlene Delacruz   ,1248 Goosetown Drive,,,Alfianello,BS,IT,25020,0,Charlene.D.Delacruz@spambob.com,0325 4868735,152,SE208 ,UK,OB344475,3.08854E+15,JCB,708,8896,
10066,Brandon Bourland    ,343 Margaret Street,,,Alfiano Natta,AL,IT,15021,0,Brandon.S.Bourland@spambob.com,0364 7198786,0,RP385 ,CA,174669168,4.11187E+15,VISA,213,9952,
10069,Roy Murillo         ,3426 West Fork Drive,,,Alhambra,CA,US,91801,0,Roy.L.Murillo@pookmail.com,617-968-5053,2550,SE139 ,U.S.,22868393,3E+13,Diners Club,610,2885,
10070,Cheryl Hayes        ,4802 Bungalow Road,,,Alhambra,CA,US,91801,0,Cheryl.T.Hayes@spambob.com,401-667-1274,298.83,SE139 ,ES,4505761S,3E+13,Diners Club,714,5283,
10072,Shirley Herring     ,1829 Wilkinson Court,,,Aliso Viejo,CA,US,92656,0,Shirley.C.Herring@spambob.com,775-218-1919,52,SW343 ,FR,7.96059E+14,3.7E+14,American Express,311,538,
10073,Arturo Sanders      ,2708 Stewart Street,,,ALL STRETTON,,UK,SY6 7XJ,0,Arturo.B.Sanders@pookmail.com,070 0871 6540,304,WE415 ,UK,RP039210B,6.01164E+15,Discover,608,6391,
10074,Barbara White       ,932 Lords Way,,,Allen,TX,US,75002,0,Barbara.J.White@spambob.com,908-537-1379,1820.08,NC166 ,FR,7.32085E+14,6.01107E+15,Discover,710,1745,
10075,Rafael Middleton    ,3020 Callison Lane,,,Allentown,MD,US,20222,0,Rafael.G.Middleton@spambob.com,781-315-9600,352,SC262 ,U.S.,530990002,3.08893E+15,JCB,314,801,
10077,Dawn Joiner         ,622 Star Trek Drive,,,Allentown,PA,US,18109,0,Dawn.R.Joiner@dodgeit.com,601-449-2513,5231,SW343 ,IT,BUEUAX43R69E026M,6.01192E+15,Discover,315,4634,
10078,Betsy Spear         ,586 Public Works Drive,,,ALLTNACAILLICH,,UK,IV27 5BW,0,Betsy.P.Spear@mailinator.com,079 0580 9480,904.86,NE373 ,ES,6721836V,3E+13,Diners Club,109,6780,
10079,Earl Bruner         ,3155 Single Street,,,Alma,QC,CA,G8B 2W5,0,Earl.M.Bruner@pookmail.com,613-353-4540,1782.03,NE172 ,ES,5873675G,3.7E+14,American Express,1008,5261,
10408,Denise Fowler       ,4092 Heron Way,,,Bovenden,,DE,37120,0,Denise.A.Fowler@spambob.com,01805 98 84 96,0,NE367 ,IT,UOIWVW88P54H229A,3E+13,Diners Club,115,6534,
10080,Christopher Sullivan,2457 Poplar Street,,,Alma,MI,US,48801,0,Christopher.A.Sullivan@mailinator.com,812-216-8276,120,RP121 ,IT,QWZQSX18L13F793E,3.7E+14,American Express,1212,2012,
10081,Ruby Cohen          ,4069 Elk Creek Road,,,Almenara,,ES,12590,0,Ruby.J.Cohen@trashymail.com,91-102-6541,2550,NW115 ,FR,2.98091E+14,4.11151E+15,VISA,616,7932,
10082,Mary Brown          ,4858 Quincy Street,,,Alpena,MI,US,49707,0,Mary.F.Brown@pookmail.com,408-516-9176,298.83,NC424 ,UK,LP032523C,3.7E+14,American Express,215,8136,
10083,Linda Garcia        ,2306 Thrash Trail,,,Alpo,VR,IT,37060,0,Linda.J.Garcia@mailinator.com,0317 2702530,0,SE268 ,U.S.,22868164,3.08838E+15,JCB,409,1133,
10084,Derek Williams      ,3179 Rosebud Avenue,,,Altamonte Springs,FL,US,32701,0,Derek.B.Williams@spambob.com,785-443-0378,5231,SE337 ,IT,FKZUUO92S62I861T,6.01139E+15,Discover,715,6847,
10395,Matt Wade           ,1714 Sarah Drive,,,Boston,MA,US,2215,0,Matt.J.Wade@spambob.com,815-957-7005,853.3,SE205 ,U.S.,21880004,4.11151E+15,VISA,812,4355,
10085,Robin Marcello      ,1186 Maple Street,,,Altamura,BA,IT,70022,0,Robin.J.Marcello@spambob.com,0337 4834830,904.86,WE286 ,FR,8.40115E+14,6.01111E+15,Discover,411,4021,
10087,Derek Severson      ,312 Dola Mine Road,,,Altoona,PA,US,16601,0,Derek.I.Severson@dodgeit.com,920-835-5061,492,SW277 ,CA,382260305,3.088E+15,JCB,310,23,
10088,Daniel Mills        ,1644 Retreat Avenue,,,Alva,QLD,AU,4807,0,Daniel.D.Mills@trashymail.com,(07) 4083 0283,853.3,NC232 ,IT,AIEFOO64H53F251H,3E+13,Diners Club,408,7932,
10089,James Hall          ,3513 Hidden Meadow Drive,,,Alvito,FR,IT,3041,0,James.B.Hall@dodgeit.com,0372 5956722,568.3,RP385 ,IT,MTQIUI22A51H941Q,4.11188E+15,VISA,1009,6814,
10091,Quinn Perry         ,749 C Street,,,Amarillo,TX,US,79109,0,Quinn.S.Perry@spambob.com,603-366-3347,6000.28,SC322 ,IT,FHGPMO74D11L254L,3.7E+14,American Express,317,2365,
10092,Joe Gilbert         ,488 Bartlett Avenue,,,Amiens,,FR,80080,0,Joe.L.Gilbert@trashymail.com,02.39.20.00.36,18735.7,NC364 ,IT,LGVXPL02S61C046W,3E+13,Diners Club,816,8397,
10093,Mark Smith          ,3735 Pineview Drive,,,Amiens,,FR,80090,0,Mark.L.Smith@spambob.com,01.69.56.81.52,904.86,NC292 ,FR,2.22116E+14,6.01138E+15,Discover,916,5785,
10094,William Thompson    ,567 Strother Street,,,Amiens,,FR,80090,0,William.P.Thompson@mailinator.com,05.65.81.29.99,492,SE397 ,IT,DTLGEE56D53A849B,4.11137E+15,VISA,711,1709,
10095,Kristin Mendoza     ,2909 Frank Avenue,,,Anaheim,CA,US,92805,0,Kristin.T.Mendoza@spambob.com,865-685-8215,486,WE154 ,FR,7.00084E+14,3E+13,Diners Club,912,4236,
10357,Lori Dunmire        ,4944 Lauren Drive,,,Boambee,NSW,AU,2450,0,Lori.W.Dunmire@pookmail.com,(03) 5378 3379,0,NE304 ,CA,278262209,6.01105E+15,Discover,914,3912,
10096,Jennifer Fabian     ,1870 Settlers Lane,,,Anaheim,CA,US,92804,0,Jennifer.D.Fabian@mailinator.com,715-569-3996,486,SC127 ,UK,WL862356D,3.7E+14,American Express,515,8124,
10097,Isaac Crawford      ,248 Crummit Lane,,,Anaheim,CA,US,92805,0,Isaac.R.Crawford@mailinator.com,770-892-0740,853.3,WE286 ,FR,1.03027E+14,3E+13,Diners Club,809,2326,
10098,Mimi Green          ,68 Bird Street,,,Anchorage,AK,US,99501,0,Mimi.J.Green@dodgeit.com,917-376-1635,120,WE286 ,IT,HMQEAX88D11F249D,3E+13,Diners Club,414,5678,
10099,Michael Gordon      ,388 Kelly Drive,,,Ancona,AN,IT,60123,0,Michael.S.Gordon@dodgeit.com,0373 6095994,673,RP385 ,U.S.,316290001,3E+13,Diners Club,611,8785,
10100,Mariana Johnson     ,4973 Poplar Street,,,Ancona,AN,IT,60126,0,Mariana.L.Johnson@dodgeit.com,0319 3258840,863.9,RP319 ,UK,LH657308,3.08823E+15,JCB,1212,3598,
10101,Suzanne Huynh       ,2885 Jacobs Street,,,Andonno,CN,IT,12010,0,Suzanne.M.Huynh@trashymail.com,0377 2351940,9095.04,SC256 ,CA,84161009,3.7E+14,American Express,910,4199,
10102,Evelyn Neal         ,2083 Fidler Drive,,,Andria,BA,IT,70031,0,Evelyn.R.Neal@mailinator.com,0358 3009693,904.86,SE208 ,UK,YX199745A,3.08891E+15,JCB,616,3964,
10103,Phyllis White       ,4738 Jerry Dove Drive,,,Angas Plains,SA,AU,5255,0,Phyllis.J.White@pookmail.com,(02) 4024 5353,90.3,WE151 ,IT,HCNFEA86A41E274E,3.7E+14,American Express,316,6360,
10104,Mary Cruz           ,4517 Mulberry Avenue,,,Angers,,FR,49100,0,Mary.T.Cruz@pookmail.com,04.47.21.70.31,0,SW343 ,ES,2591674B,3.7E+14,American Express,1217,8815,
10105,Ronald May          ,2900 Rinehart Road,,,Angie,LA,US,70426,0,Ronald.L.May@pookmail.com,603-547-3670,18735.7,SC322 ,U.S.,541710001,3.08887E+15,JCB,410,7851,
10106,Cheri Schmidt       ,3356 Locust View Drive,,,Angliers,QC,CA,J0Z 1A0,0,Cheri.M.Schmidt@trashymail.com,403-504-3757,304,NC169 ,ES,5918358K,3.7E+14,American Express,514,1239,
10107,Katherine Mullins   ,4245 Adamsville Road,,,Angwin,CA,US,94508,0,Katherine.W.Mullins@spambob.com,503-688-0336,6000.28,NC424 ,ES,X6490143A,3E+13,Diners Club,112,1656,
10108,Norma Golden        ,2583 Edgewood Avenue,,,Ann Arbor,MI,US,48108,0,Norma.R.Golden@trashymail.com,214-271-9448,52,NE307 ,CA,319105946,3E+13,Diners Club,313,1567,
10109,Kathryn Smith       ,714 Boring Lane,,,Anna,RC,IT,89063,0,Kathryn.J.Smith@trashymail.com,0318 8997790,354,SE403 ,IT,HNZUEA64T70D679N,3E+13,Diners Club,813,494,
10110,Amos Garza          ,3189 Austin Avenue,,,Annapolis Junction,MD,US,20701,0,Amos.J.Garza@trashymail.com,308-772-3361,352,NC166 ,IT,LAUHEI10R31A889Z,6.01139E+15,Discover,808,6865,
10111,Lisa Guest          ,4317 Lyon Avenue,,,Annone Veneto,VE,IT,30020,0,Lisa.D.Guest@spambob.com,0312 0608733,0,NE235 ,ES,4204474M,3E+13,Diners Club,812,5733,
10112,Dale Fontanez       ,1909 Sugar Camp Road,,,Anoeta,,ES,20270,0,Dale.B.Fontanez@trashymail.com,91-102-2265,180.3,NE373 ,ES,0791757M,6.01188E+15,Discover,609,3897,
10113,Anthony Ruddy       ,1397 Green Hill Road,,,Antibes,,FR,6600,0,Anthony.K.Ruddy@mailinator.com,05.28.67.90.43,505,SE403 ,CA,689918175,3E+13,Diners Club,810,7438,
10114,Kevin Peterson      ,542 Freed Drive,,,Antigua,,ES,35630,0,Kevin.C.Peterson@spambob.com,91-103-1883,5869.4,SW148 ,CA,259421543,3.08811E+15,JCB,909,1475,
10115,Scott Lawson        ,3105 Spadafore Drive,,,Antioch,WI,US,60002,0,Scott.M.Lawson@spambob.com,201-799-5873,6101,SE133 ,CA,518957246,3.088E+15,JCB,616,5622,
10116,Daniel Polk         ,1483 Elkview Drive,,,Antioch,IL,US,60002,0,Daniel.S.Polk@mailinator.com,702-871-0184,290.48,NC232 ,IT,ZGNOXX30H59A588T,6.01139E+15,Discover,712,4980,
10117,Linda Vest          ,67 Tenmile,,,Anton,TX,US,79313,0,Linda.M.Vest@dodgeit.com,412-723-9829,1782.03,WE355 ,ES,4791906V,3E+13,Diners Club,215,1837,
10118,John Tash           ,3295 Marie Street,,,Apfeltrach,,DE,87742,0,John.A.Tash@mailinator.com,06782 86 60 35,904.86,NC298 ,UK,AR915474B,3.08807E+15,JCB,1008,7766,
10119,Robert Bilbo        ,2553 Clousson Road,,,Appiano Gentile,CO,IT,22070,0,Robert.L.Bilbo@dodgeit.com,0390 9449254,5000.9,SC196 ,IT,QIEZKO91C65L851P,3.088E+15,JCB,917,5678,
10120,Joan Tsosie         ,1104 New Street,,,Appleton,WI,US,54913,0,Joan.J.Tsosie@mailinator.com,512-769-8367,3780.51,WE157 ,IT,OIXJQL22R18Z212L,6.01185E+15,Discover,915,769,
10121,Nathan Heffron      ,3865 Woodside Circle,,,Appleton,WI,US,54913,0,Nathan.M.Heffron@spambob.com,708-833-6263,152,WE352 ,IT,PKZKBM63H67F731L,3.0884E+15,JCB,413,3244,
10122,Debbie Lombardi     ,4042 Cessna Drive,,,Appleton,WI,US,54911,0,Debbie.M.Lombardi@dodgeit.com,917-721-2525,0,SE397 ,FR,7.25034E+14,6.01165E+15,Discover,1212,7477,
10123,Ahmed Richard       ,1346 Carter Street,,,Appleton,WI,US,54911,0,Ahmed.P.Richard@mailinator.com,510-517-7759,5320.86,SW214 ,U.S.,229990001,3.08814E+15,JCB,112,24,
10124,Eva Simmons         ,2424 University Drive,,,Apslawn,TAS,AU,7190,0,Eva.D.Simmons@dodgeit.com,(02) 4902 1154,5869.4,NC295 ,IT,DQQMFM02T29L910K,3E+13,Diners Club,712,977,
10125,Ralph Napier        ,4255 Capitol Avenue,,,Araluen,NSW,AU,2622,0,Ralph.J.Napier@mailinator.com,(03) 5301 1491,2550,NC100 ,ES,1930327Y,4.1116E+15,VISA,717,5090,
10126,Theresa Anderson    ,789 Dale Avenue,,,Arapahoe,NE,US,68922,0,Theresa.R.Anderson@trashymail.com,313-658-7511,298.83,SE205 ,IT,WHBOXX40R04A812M,3.0889E+15,JCB,1012,6703,
10127,Ray Hornsby         ,555 Davis Avenue,,,Archez,,ES,29753,0,Ray.M.Hornsby@pookmail.com,91-271-2747,90.3,SC388 ,IT,TMWEAA77M18B017F,4.1111E+15,VISA,208,6086,
10128,Curtis Moon         ,3848 Oakway Lane,,,Arcidosso,GR,IT,58031,0,Curtis.S.Moon@pookmail.com,0360 5734559,5231,SC193 ,IT,CIUEUO98L44G601A,3E+13,Diners Club,1117,2405,
10129,Michael Hayashi     ,2087 May Street,,,ARDNAGRASK,,UK,IV4 6TE,0,Michael.J.Hayashi@dodgeit.com,079 5028 3761,904.86,NE367 ,U.S.,23867959,3E+13,Diners Club,917,5705,
10130,Steve Miller        ,2284 Dogwood Lane,,,Argentera,CN,IT,12010,0,Steve.C.Miller@dodgeit.com,0370 8513525,505,SC322 ,FR,1.39041E+14,3.7E+14,American Express,810,3310,
10131,Jason Glass         ,289 Bassell Avenue,,,Argenton,NSW,AU,2284,0,Jason.M.Glass@spambob.com,(07) 4090 2386,52,RP121 ,IT,HCNMPL50M67G315Q,3E+13,Diners Club,1016,4539,
10132,Kristin Gable       ,3555 O Conner Street,,,Argusto,CZ,IT,88060,0,Kristin.J.Gable@pookmail.com,0321 5770042,6000.28,SC259 ,CA,590767737,6.01131E+15,Discover,1116,1351,
10133,Jerome Burley       ,1240 Marshville Road,,,Arielli,CH,IT,66030,0,Jerome.D.Burley@dodgeit.com,0314 9940623,304,NE238 ,U.S.,230990006,3.08832E+15,JCB,611,1700,
10134,Nathan Ouellette    ,2656 Hewes Avenue,,,Aringo,AQ,IT,67010,0,Nathan.E.Ouellette@trashymail.com,0384 4011672,5000.9,NW382 ,CA,249665308,4.11158E+15,VISA,316,6681,
10067,Amy Randle          ,4316 Nickel Road,,,Algaida,,ES,7210,0,Amy.M.Randle@mailinator.com,91-271-2733,5320.86,NC292 ,U.S.,515250001,4.11113E+15,VISA,1012,1600,
10068,James Stevens       ,1735 Bailey Drive,,,Algona,IA,US,50511,0,James.A.Stevens@spambob.com,937-442-8346,505,NE238 ,IT,PCXXJA75E31F765T,3.08826E+15,JCB,611,5475,
